Igandean	l|s|s|s|s|s|d|d
,	s
gosaldu	s|s|s|s|s|s|s
ondoren	s|s|s|s|s|s|s
itzuliko	s|s|s|s|s|s|d|d
dira	d|s|r_z|s|r_n
Iruñera	s|s|s|s|s|d|s
,	s
eta	s|s|s
Berrioplanoko	s|s|s|s|s|s|s|s|s|s|s|d|d
El	s|s
Toro	s|s|s|s
hotelean	s|s|s|s|s|d|d|d
jarraituko	s|s|s|s|s|s|s|s|d|d
dute	i_*e|s|r_n|d
kontzentrazioa	s|s|s|s|s|s|s|s|s|s|s|s|s|d
,	s
partidua	s|s|s|s|s|s|s|d
jokatzeko	s|s|s|s|s|r_u|d|d|d
ordua	s|s|s|s|d
heldu	s|s|s|s|s
arte	s|s|s|s
.	s

Osasun	l|s|s|s|s|s
publikoan	s|s|s|s|s|s|s|d|d
eta	s|s|s
erretiroko	s|s|s|s|s|s|s|s|d|d
pentsioetan	s|s|s|s|s|s|s|d|d|d|d
ere	s|s|s
aurreikusita	s|s|s|s|s|s|s|s|s|s|d|d
dago	r_e|d|s|s|r_n
oinarrizko	s|s|s|s|s|s|s|s|s|s
erreformak	s|s|s|s|s|s|s|s|s|d
egitea	s|s|s|r_n|d|d
.	s

Kurba	l|s|s|s|s
hauei	s|s|s|s|r_k
begiratzeak	s|s|s|s|s|s|s|r_u|d|d|d
funtzionamendua	s|s|s|s|s|s|s|s|s|s|s|s|s|s|d
ulertzen	s|s|s|s|s|r_u|d|d
lagunduko	s|s|s|s|s|s|s|d|d
digu	r_*|r_e|r_d|s|r_n
.	s

Hala	l|s|s|s
ondorioztatu	s|s|s|s|s|s|s|s|s|s|s|s
zuen	r_*e|r_d|r_u|s
atzo	s|s|s|s
Eduardo	s|s|s|s|s|s|s
Stein	s|s|s|s|s
Guatemalako	s|s|s|s|s|s|s|s|s|d|d
Atzerri	l|s|s|s|s|s|s
ministro	s|s|s|s|s|s|s|s
ohi	s|s|s
eta	s|s|s
OEA	l|r_h|r_e
Amerikako	s|s|s|s|s|s|s|d|d
Estatuen	l|s|s|s|s|s|d|d
Erakundearen	l|s|s|s|s|s|s|s|d|d|d|d
Peruko	s|s|s|s|d|d
bozetarako	s|s|s|d|d|d|d|d|d|d
misioko	s|s|s|s|s|d|d
buruzagiak	s|s|s|s|s|s|s|s|d|d
.	s

Negoziazio	l|s|s|s|s|s|s|s|s|s
horiek	s|s|s|s|s|s
irailean	s|s|s|s|s|d|d|d
bukatu	s|s|s|s|s|s
