Igandean	N	↓0;d¦--
,	_	↓0;d¦
gosaldu	VV.PTCP	↓0;d¦
ondoren	ADV	↓0;d¦
itzuliko	VV.PTCP	↓0;d¦--
dira	V	↓0;d-¦-+z→+n
Iruñera	PROPN	↑0¦↓1;d¦-→
,	_	↓0;d¦
eta	CONJ	↓0;d¦
Berrioplanoko	PROPN	↑0¦↓1;d¦--
El	_	↑0¦↓1;d¦
Toro	PROPN	↑0¦↓1;d¦
hotelean	N	↓0;d¦---
jarraituko	VV.PTCP	↓0;d¦--
dute	V	↓0;d+*+e¦--+n
kontzentrazioa	N	↓0;d¦-
,	_	↓0;d¦
partidua	N	↓0;d¦-
jokatzeko	V	↓0;d¦----+u
ordua	N	↓0;d¦-
heldu	VV.PTCP	↓0;d¦
arte	N	↓0;d¦
.	_	↓0;d¦

Osasun	N	↓0;d¦
publikoan	ADJ	↓0;d¦--
eta	CONJ	↓0;d¦
erretiroko	N	↓0;d¦--
pentsioetan	N	↓0;d¦----
ere	CONJ	↓0;d¦
aurreikusita	VV.PTCP	↓0;d¦--
dago	V	↓0;d--+e¦+n
oinarrizko	ADJ	↓0;d¦
erreformak	N	↓0;d¦-
egitea	V	↓0;d¦---+n
.	_	↓0;d¦

Kurba	N	↓0;d¦
hauei	DET	↓0;d¦-+k
begiratzeak	V	↓0;d¦----+u
funtzionamendua	N	↓0;d¦-
ulertzen	V	↓0;d¦---+u
lagunduko	VV.PTCP	↓0;d¦--
digu	V	↓0;d+*+e¦--→+n
.	_	↓0;d¦

Hala	ADV	↓0;d¦
ondorioztatu	VV.PTCP	↓0;d¦
zuen	V	↓0;d--+*¦+d+u→
atzo	ADV	↓0;d¦
Eduardo	PROPN	↑0¦↓1;d¦
Stein	PROPN	↑0¦↓1;d¦
Guatemalako	PROPN	↑0¦↓1;d¦--
Atzerri	N	↓0;d¦
ministro	N	↓0;d¦
ohi	ADJ	↓0;d¦
eta	CONJ	↓0;d¦
OEA	N	↓0;d¦+h→-
Amerikako	PROPN	↑0¦↓1;d¦--
Estatuen	N	↓0;d¦--
Erakundearen	N	↓0;d¦----
Peruko	PROPN	↑0¦↓1;d¦--
bozetarako	N	↓0;d¦-------
misioko	N	↓0;d¦--
buruzagiak	N	↓0;d¦--
.	_	↓0;d¦

Negoziazio	N	↓0;d¦
horiek	DET	↓0;d¦
irailean	N	↓0;d¦---
bukatu	VV.PTCP	↓0;d¦
beharra	N	↓0;d¦--
daukate	V	↓0;d+e→-¦---+i
Estatu	N	↓0;d¦
palestinarraren	ADJ	↓0;d¦-----
aldarrikapenarekin	N	↓0;d¦------
.	_	↓0;d¦

Andra	PROPN	↑0¦↓1;d¦
Mari	PROPN	↑0¦↓1;d¦
Zuriaren	PROPN	↑0¦↓1;d¦---
txapelketan	N	↓0;d¦-
,	_	↓0;d¦
aldiz	CONJ	↓0;d¦
,	_	↓0;d¦
finalerdietan	N	↓0;d¦----
gurutzatuko	VV.PTCP	↓0;d¦--
dira	V	↓0;d-¦-+z→+n
,	_	↓0;d¦
lehenbizikoz	ADV	↓0;d¦
.	_	↓0;d¦

Istiluak	N	↓0;d¦--
areagotu	VV.PTCP	↓0;d¦
egin	VV.PTCP	↓0;d¦
ziren	V	↓0;d-¦--+z+a→
atzo	ADV	↓0;d¦
Israelgo	PROPN	↑0¦↓1;d¦--
Armadak	N	↓0;d¦-
eta	CONJ	↓0;d¦
PANek	PROPN	↑0;d¦--
hartutako	VV.PTCP	↓0;d¦----
erabakia	N	↓0;d¦-
jakin	VV.PTCP	↓0;d¦
aurretik	N	↓0;d¦---
.	_	↓0;d¦

Iñaki	PROPN	↑0¦↓1;d¦
Rekarte	PROPN	↑0¦↓1;d¦
presoak	N	↓0;d¦--
gutun	N	↓0;d¦
bat	NUM	↓0;d¦
igorri	VV.PTCP	↓0;d¦
du	V	↓0;d+*+e¦+n
isolamenduan	N	↓0;d¦--
jasaten	V	↓0;d¦--→
dituen	V	↓0;d----+*¦+d+u→
"	_	↓0;d¦
presio	N	↓0;d¦
eta	CONJ	↓0;d¦
kontrolak	N	↓0;d¦--
"	_	↓0;d¦
salatuz	VV.PTCP	↓0;d¦-
.	_	↓0;d¦

Orain	ADV	↓0;d¦
atseden	N	↓0;d¦
hartuko	VV.PTCP	↓0;d¦--
dut	V	↓0;d+*+e¦-+n
lesioa	N	↓0;d¦-
gainditzeko	V	↓0;d¦----+u
helburuarekin	N	↓0;d¦------
.	_	↓0;d¦

Epe	N	↓0;d¦
honetan	DET	↓0;d¦----→-+u
,	_	↓0;d¦
behin	ADV	↓0;d¦
betiko	ADV	↓0;d¦
hitzarmen	N	↓0;d¦
bat	NUM	↓0;d¦
sinatu	VV.PTCP	↓0;d¦
behar	N	↓0;d¦
dute	V	↓0;d-¦--+k+a+n
bi	NUM	↓0;d¦
aldeek	N	↓0;d¦--
,	_	↓0;d¦
horrela	ADV	↓0;d¦
Oslon	PROPN	↑0¦↓1;d¦-
hasitako	VV.PTCP	↓0;d¦----
prozesua	N	↓0;d¦-
bukatzeko	V	↓0;d¦----+u
.	_	↓0;d¦

Lakerseko	PROPN	↑0¦↓1;d¦---
entrenatzaile	N	↓0;d¦
Phil	PROPN	↑0¦↓1;d¦
Jackson	PROPN	↑0¦↓1;d¦
haserre	ADV	↓0;d¦
agertu	VV.PTCP	↓0;d¦
zen	V	↓0;d+i¦-+a→
,	_	↓0;d¦
ordea	CONJ	↓0;d¦
,	_	↓0;d¦
bere	DET	↓0;d¦-+a
ustez	N	↓0;d¦-
partidu	N	↓0;d¦
bateko	NUM	↓0;d¦---
zigorra	N	↓0;d¦--
merezi	N	↓0;d¦
baitzuen	V	↓0;d-----¦-+k+a→
Pippenek	PROPN	↑0¦↓1;d¦--
.	_	↓0;d¦

Urtea	N	↓0;d¦-
6.300	NUM	↓0;d¦
milioi	N	↓0;d¦
pezetako	N	↓0;d¦--
etekinekin	N	↓0;d¦----
itxiko	VV.PTCP	↓0;d¦--
du	V	↓0;d+*+e¦+n
Vitalek	PROPN	↑0¦↓1;d¦--
.	_	↓0;d¦

Lan	N	↓0;d¦
osoaren	ADJ	↓0;d¦----
laburtzapena	N	↓0;d¦-
ere	CONJ	↓0;d¦
egina	VV.PTCP	↓0;d¦-
du	V	↓0;d-¦+k+a+n
autoreak	N	↓0;d¦--
berak	DET	↓0;d¦-
:	_	↓0;d¦

PSE-EEk	PROPN	↑0¦↓3¦↑-2;d¦-
iragarri	VV.PTCP	↓0;d¦
duen	V	↓0;d+*+e¦-→
helegiteak	N	↓0;d¦--
"	_	↓0;d¦
nahasmena	N	↓0;d¦-
"	_	↓0;d¦
sortzea	V	↓0;d¦---+u
du	V	↓0;d-¦+k+a+n
helburutzat	N	↓0;d¦----
Egibarren	PROPN	↑0¦↓1;d¦---
arabera	ADP	↓0;d¦
.	_	↓0;d¦

Hipotesi	N	↓0;d¦
honen	DET	↓0;d¦----+a+u
arabera	ADP	↓0;d¦
,	_	↓0;d¦
haurrak	N	↓0;d¦---
erabiltzen	V	↓0;d¦----+i
hasten	V	↓0;d¦---+i
diren	V	↓0;d-¦--+z+a→
gramatika-ezaugarri	N	↓0;d¦++→++→→→→→→→→→
eta	CONJ	↓0;d¦
sintaxi-arau	N	↓0;d¦++→++→→→→
ezberdinak	ADJ	↓0;d¦--
garabide	N	↓0;d¦
honek	DET	↓0;d¦----+a+u
zuzendurik	VV.PTCP	↓0;d¦---
daude	V	↓0;d----¦+g+o+n
,	_	↓0;d¦
eta	CONJ	↓0;d¦
oinarrizko	ADJ	↓0;d¦
berezitasunen	N	↓0;d¦--
garapen	N	↓0;d¦
bera	DET	↓0;d¦
edo	CONJ	↓0;d¦
antzerakoa	ADJ	↓0;d¦-
izan	VV.PTCP	↓0;d¦
beharko	V	↓0;d¦--+_+i+z+a+n
dute	V	↓0;d+*+e¦--+n
.	_	↓0;d¦

"	_	↓0;d¦
Arropa	N	↓0;d¦
mota	N	↓0;d¦
guztiak	DET	↓0;d¦--
gustatzen	V	↓0;d¦---+u
zaizkidan	V	↓0;d--¦---→→
arren	CONJ	↓0;d¦
,	_	↓0;d¦
nahiago	N	↓0;d¦---
ditut	V	↓0;d---¦-+k+a+n
soinekoak	N	↓0;d¦--
"	_	↓0;d¦
.	_	↓0;d¦

"	_	↓0;d¦
Lortu	VV.PTCP	↓0;d¦
behar	N	↓0;d¦
dugu	V	↓0;d-¦--+k+a+n
.	_	↓0;d¦

Hasiera	N	↓0;d¦
batean	NUM	↓0;d¦---
ez	PART	↓0;d¦
zegoen	V	↓0;d-¦-→
halako	ADJ	↓0;d¦
goi	ADJ	↓0;d¦
bilerarik	N	↓0;d¦---
aurreikusita	VV.PTCP	↓0;d¦--
,	_	↓0;d¦
baina	CONJ	↓0;d¦
Israelgo	PROPN	↑0¦↓1;d¦--
agintariak	N	↓0;d¦--
posibilitate	N	↓0;d¦
hori	DET	↓0;d¦
aipatu	VV.PTCP	↓0;d¦
zuen	V	↓0;d--+*¦+d+u→
Norvegiako	PROPN	↑0¦↓1;d¦--
hiriburuan	N	↓0;d¦--
.	_	↓0;d¦

Ile	N	↓0;d¦
beltz	ADJ	↓0;d¦
ugaria	ADJ	↓0;d¦-
txukun	ADJ	↓0;d¦
ebakita	VV.PTCP	↓0;d¦--
eta	CONJ	↓0;d¦
orraztuta	VV.PTCP	↓0;d¦--
zeraman	V	↓0;d-¦
.	_	↓0;d¦

ez	PART	↓0;d¦
zukeen	V	↓0;d---+*¦-+d+u→
golik	N	↓0;d¦--
sartuko	VV.PTCP	↓0;d¦--
"	_	↓0;d¦
.	_	↓0;d¦

Ordu	N	↓0;d¦
berean	DET	↓0;d¦-→-
,	_	↓0;d¦
aitak	N	↓0;d¦-
,	_	↓0;d¦
esku	N	↓0;d¦
erne	ADJ	↓0;d¦
batez	NUM	↓0;d¦--
hartzen	V	↓0;d¦---+u
nau	V	↓0;d--+*+e+d¦+n
eta	CONJ	↓0;d¦
bazterrera	N	↓0;d¦----
eramaten	V	↓0;d¦--→
.	_	↓0;d¦

Jontxu	PROPN	↑0¦↓1;d¦
ikusi	VV.PTCP	↓0;d¦
zuenean	V	↓0;d--+*¦+d+u→---
,	_	↓0;d¦
laster	ADV	↓0;d¦
ezagutu	VV.PTCP	↓0;d¦
zuen	V	↓0;d--+*¦+d+u→
:	_	↓0;d¦

Egun	ADV	↓0;d¦
,	_	↓0;d¦
lekutan	ADV	↓0;d¦
dira	V	↓0;d-¦-+z→+n
Kalifornian	PROPN	↑0¦↓1;d¦-
argia	N	↓0;d¦-
ikusi	VV.PTCP	↓0;d¦
zuten	V	↓0;d---+*¦+d+u→
euskarazko	N	↓0;d¦---
aldizkari	N	↓0;d¦
haiek	DET	↓0;d¦
:	_	↓0;d¦

Beraz	CONJ	↓0;d¦
,	_	↓0;d¦
ez	PART	↓0;d¦
dauka	V	↓0;d+e→-¦-+i
zerikusirik	N	↓0;d¦---
zerga	N	↓0;d¦
ekologikoarekin	ADJ	↓0;d¦------
,	_	↓0;d¦
horren	DET	↓0;d¦---+i
sarrerak	N	↓0;d¦-
gizartearen	N	↓0;d¦----
aldaketa	N	↓0;d¦
ekologikorako	ADJ	↓0;d¦----
erabiliko	VV.PTCP	↓0;d¦--
ziren	V	↓0;d-¦--+z+a→
eta	CONJ	↓0;d¦
.	_	↓0;d¦

Zidane	PROPN	↑0¦↓1;d¦
,	_	↓0;d¦
Henry	PROPN	↑0¦↓1;d¦
,	_	↓0;d¦
Barthez	PROPN	↑0¦↓1;d¦
,	_	↓0;d¦
Deschamps	PROPN	↑0¦↓1;d¦
,	_	↓0;d¦
Blanc	PROPN	↑0¦↓1;d¦
eta	CONJ	↓0;d¦
enparauek	ADJ	↓0;d¦--
Eurokopako	PROPN	↑0¦↓1;d¦--
talde	N	↓0;d¦
sendoena	ADJ	↓0;d¦---
osatzen	V	↓0;d¦---+u
dute	V	↓0;d+*+e¦--+n
aditu	N	↓0;d¦
gehienentzat	DET	↓0;d¦------
.	_	↓0;d¦

Ordurako	ADV	↓0;d¦
,	_	↓0;d¦
merke	ADV	↓0;d¦
,	_	↓0;d¦
bapo	ADV	↓0;d¦
eta	CONJ	↓0;d¦
arriskutsuki	ADV	↓0;d¦+++!→→
bazkaldu	VV.PTCP	↓0;d¦
bazuen	V	↓0;d----+*¦+d+u→
ere	CONJ	↓0;d¦
,	_	↓0;d¦
korroka	N	↓0;d¦
batean	NUM	↓0;d¦---
zeuzkan	V	↓0;d-¦+d→-→--+i
tripak	N	↓0;d¦-
.	_	↓0;d¦

Baraken	PROPN	↑0¦↓1;d¦--
