Widzę	R0ęiI0eI0ć
jej	R2joR1enD0j
oczy	R2ckR1zoD0y
.	O

–	O
Na	O
pewno	O
ci	R1ctR0iy
powie	I2iI2eI2dI2zI0ć
.	O

Kolację	R0ęa
jadamy	R1mćD0y
o	O
siódmej	R1eyD0j
.	O

Nawet	1
u	O
mnie	R3mjR2naD1iD0e
nie	O
byli	R1lćD0i
,	O
bo	O
formalności	R1cćD0i
wizowe	R0ey
trwały	R1łćD0y
zbyt	O
długo	O
.	O

Krew	1
pije	R1jćD0e
?	O

Pan	1
zanotuje	R2uoR1jwR0eaI0ć
sobie	R3oiI3e
prywatny	O
numer	O
posła	R1łeR0ał
.	O
.	O
.	O

Dopiero	1
po	O
5	O
minutach	D1cD0h
zamieszanie	O
zostało	R1łćD0o
opanowane	R1nćD0e
przez	O
policję	R0ęa
.	O

To	1
jest	R3jbR2eyR1sćD0t
fakt	O
.	O

Skrzypczak	O
układał	R0łć
swoje	R2oóD0e
poczynania	R0ae
.	O

Mieszkała	R1łćD0a
m	R0mbI0yI0ć
w	O
Dobrziszu	↑D0u
.	O

Posłanka	1
ta	R0aeI0n
jest	R3jbR2eyR1sćD0t
raczej	O
deprecjonowana	R1nćD0a
.	O
.	O
.	O

nie	O
można	O
nagrać	O
zdjęć	R0ćcI0iI0e
?	O

On	1
dał	R0łć
nam	R2nmR1ayD0m
Siebie	1
w	O
Eucharystii	R0ia
.	O

Spostrzegł	R1gcD0ł
em	R1ebR0myI0ć
,	O
że	O
ma	R0aiI0eI0ć
ładne	R0ey
piersi	R1sśD0i
i	O
krągłe	R0ey
,	O
dziewczęce	R0ey
ramiona	R2oęD1nD0a
.	O

Ciągle	1
milczeli	R1lćD0i
.	O

Jak	1
poszło	R4oóR3sjR2zśR1łćD0o
?	O

Przywitajmy	R2jćD1mD0y
ją	R1joR0ąn
serdecznie	O
.	O

Stracił	R0łć
cały	O
swój	O
początkowy	O
tupet	O
.	O

–	O
Ojciec	1
Benedykt	O
służył	R0łć
tutaj	O
?	O

Jerzy	O
został	R0łć
sam	O
.	O

W	1
początkach	R3keR2akD1cD0h
następnego	R2eyD1gD0o
tysiąclecia	R0ae
jej	R2joR1enD0j
ruiny	R0ya
pokrył	R0łć
śmietnik	O
.	O

Wymienię	R0ęć
te	I0n
najważniejsze	D12nD11aD10jR5iyD4eD3jD2sD1zD0e
.	O

-	O
Wolfgang	O
przestawił	R0łć
swoje	R2oóD0e
krzesełko	O
w	O
cień	O
.	O

Mogę	R2oóR1gcD0ę
rzucić	O
pracę	R0ęa
i	O
wyjechać	O
do	O
Włoch	↑I0y
.	O

Nieco	1
częściej	R4śsR3ctR2ioD1eD0j
czyniły	R1łćD0y
to	O
kobiety	R0ya
.	O

Na	1
jakiej	D1eD0j
podstawie	R1iaD0e
to	O
wiemy	R1mdR0yzI0iI0eI0ć
?	O

Chcieli	R1lćD0i
powiadomić	O
rodzinę	R0ęa
o	O
samobójczej	R1eyD0j
śmierci	R1cćD0i
mężczyzny	R0ya
.	O

Niech	1
pani	O
da	I0ć
przykład	O
.	O

Na	1
koniec	O
wyniki	D0i
podliczono	R2oyR1nćD0o
by	O
w	O
blasku	D0u
jupiterów	D1óD0w
na	O
wielkiej	D1eD0j
konwencji	R0ia
