Widzę	l|s|s|s|r_ieć
jej	r_o|r_n|d
oczy	s|r_k|r_o|d
.	s

–	s
Na	s|s
pewno	s|s|s|s|s
ci	r_t|r_y
powie	s|s|s|s|s|r_dzieć
.	s

Kolację	l|s|s|s|s|s|r_a
jadamy	s|s|s|s|r_ć|d
o	s
siódmej	s|s|s|s|s|r_y|d
.	s

Nawet	l|s|s|s|s
u	s
mnie	r_j|r_a|d|d
nie	s|s|s
byli	s|s|r_ć|d
,	s
bo	s|s
formalności	s|s|s|s|s|s|s|s|s|r_ć|d
wizowe	s|s|s|s|s|r_y
trwały	s|s|s|s|r_ć|d
zbyt	s|s|s|s
długo	s|s|s|s|s
.	s

Krew	l|s|s|s
pije	s|s|r_ć|d
?	s

Pan	l|s|s
zanotuje	s|s|s|s|s|r_ow|r_a|r_ć
sobie	s|r_ie|s|s|s
prywatny	s|s|s|s|s|s|s|s
numer	s|s|s|s|s
posła	s|s|s|i_e|d
.	s
.	s
.	s

Dopiero	l|s|s|s|s|s|s
po	s|s
5	s
minutach	s|s|s|s|s|s|d|d
zamieszanie	s|s|s|s|s|s|s|s|s|s|s
zostało	s|s|s|s|s|r_ć|d
opanowane	s|s|s|s|s|s|s|r_ć|d
przez	s|s|s|s|s
policję	s|s|s|s|s|s|r_a
.	s

To	l|s
jest	r_b|r_y|r_ć|d
fakt	s|s|s|s
.	s

Skrzypczak	s|s|s|s|s|s|s|s|s|s
układał	s|s|s|s|s|s|r_ć
swoje	s|s|r_ó|s|d
poczynania	s|s|s|s|s|s|s|s|s|r_e
.	s

Mieszkała	l|s|s|s|s|s|s|r_ć|d
m	r_być
w	s
Dobrziszu	s|s|s|s|s|s|s|s|d
.	s

Posłanka	l|s|s|s|s|s|s|s
ta	s|r_en
jest	r_b|r_y|r_ć|d
raczej	s|s|s|s|s|s
deprecjonowana	s|s|s|s|s|s|s|s|s|s|s|s|r_ć|d
.	s
.	s
.	s

nie	s|s|s
można	s|s|s|s|s
nagrać	s|s|s|s|s|s
zdjęć	s|s|s|s|r_cie
?	s

On	l|s
dał	s|s|r_ć
nam	r_m|r_y|d
Siebie	l|s|s|s|s|s
w	s
Eucharystii	l|s|s|s|s|s|s|s|s|s|r_a
.	s

Spostrzegł	l|s|s|s|s|s|s|s|r_c|d
em	r_by|r_ć
,	s
że	s|s
ma	s|r_ieć
ładne	s|s|s|s|r_y
piersi	s|s|s|s|r_ś|d
i	s
krągłe	s|s|s|s|s|r_y
,	s
