Занимает	R1етR0ть
площадь	O
352,658	O
км2	O
.	O

Удобство	1
якорей	R1еьD0й
без	O
штока	D0а
в	O
том	D0м
,	O
что	O
они	O
втягиваются	R3ютR2ть
в	O
клюзы	D0ы
,	O
не	O
требуя	R1уоR0явI0аI0тI0ь
сложных	R0хй
приспособлений	R0йе
для	O
подъёма	R2ёеD0а
и	O
уборки	R0иа
.	O

Он	1
утверждал	R0лтI0ь
,	O
что	O
по	O
своей	D1е
природе	R0еа
вирус	O
жидкий	O
.	O

Однако	1
,	O
продажи	R0иа
были	R1лтR0иь
не	O
так	O
хороши	I0й
и	O
альбом	O
не	O
поднялся	R2лтI2ь
в	O
чарте	D0е
Billboard	1
200	O
выше	O
163	O
строчки	R0иа
.	O

Второй	1
по	O
величине	R0еа
остров	O
,	O
Негит	O
--	O
также	O
вулканического	R2оиR1гйD0о
происхождения	R0яе
,	O
возник	I0нI0уI0тI0ь
около	O
2000	O
лет	R2лгR1еоR0тд
назад	O
.	O

Последняя	R1яиR0яй
версия	O
программы	R0ыа
RivaTuner	O
--	O
v2.	O
24c	O
,	O
датируется	R4уоR3евI3аI2ь
23	O
августа	D0а
2009	O
года	D0а
.	O

В	1
2005	O
году	D0у
Джо	O
участвовал	R0лтI0ь
в	O
качестве	R0ео
приглашённого	R6шсR5ёиR4нтR3ньD2оD1гD0о
музыканта	D0а
в	O
альбоме	D0е
BlackmoreAPOSTROPHEs	↑R10A'D9PD8OD7SD6TD5RD4OD3PD2HD1E
Night	O
``	O
The	1
Village	O
Lanterne	O
&#39;&#39;	O
,	O
исполнив	R0втI0ь
бонус	O
-	O
трек	O
Street	O
Of	1
Dreams	O
,	O
который	O
изначально	O
был	R0лтI0ь
написан	R0нтI0ь
им	R1иоR0мн
и	O
Блэкмором	↑D1оD0м
ещё	R0ёе
во	O
времена	R2еяD1нD0а
их	O
совместного	R2оыR1гйD0о
выступления	R0яе
в	O
Rainbow	O
.	O

И	1
