Занимает	l|s|s|s|s|s|r_т|r_ь
площадь	s|s|s|s|s|s|s
352,658	s|s|s|s|s|s|s
км2	s|s|s
.	s

Удобство	l|s|s|s|s|s|s|s
якорей	s|s|s|s|r_ь|d
без	s|s|s
штока	s|s|s|s|d
в	s
том	s|s|d
,	s
что	s|s|s
они	s|s|s
втягиваются	s|s|s|s|s|s|s|r_т|r_ь|s|s
в	s
клюзы	s|s|s|s|d
,	s
не	s|s
требуя	s|s|s|s|r_оват|r_ь
сложных	s|s|s|s|s|s|r_й
приспособлений	s|s|s|s|s|s|s|s|s|s|s|s|s|r_е
для	s|s|s
подъёма	s|s|s|s|r_е|s|d
и	s
уборки	s|s|s|s|s|r_а
.	s

Он	l|s
утверждал	s|s|s|s|s|s|s|s|r_ть
,	s
что	s|s|s
по	s|s
своей	s|s|s|d|s
природе	s|s|s|s|s|s|r_а
вирус	s|s|s|s|s
жидкий	s|s|s|s|s|s
.	s

Однако	l|s|s|s|s|s
,	s
продажи	s|s|s|s|s|s|r_а
были	s|s|r_т|r_ь
не	s|s
так	s|s|s
хороши	s|s|s|s|s|s|r_й
и	s
альбом	s|s|s|s|s|s
не	s|s
поднялся	s|s|s|s|s|r_ть|s|s
в	s
чарте	s|s|s|s|d
Billboard	l|s|s|s|s|s|s|s|s
200	s|s|s
выше	s|s|s|s
163	s|s|s
строчки	s|s|s|s|s|s|r_а
.	s

Второй	l|s|s|s|s|s
по	s|s
величине	s|s|s|s|s|s|s|r_а
остров	s|s|s|s|s|s
,	s
Негит	s|s|s|s|s
--	s|s
также	s|s|s|s|s
вулканического	s|s|s|s|s|s|s|s|s|s|s|r_и|r_й|d
происхождения	s|s|s|s|s|s|s|s|s|s|s|s|r_е
,	s
возник	s|s|s|s|s|s|r_нуть
около	s|s|s|s|s
2000	s|s|s|s
лет	r_г|r_о|r_д
назад	s|s|s|s|s
.	s

Последняя	l|s|s|s|s|s|s|r_и|r_й
версия	s|s|s|s|s|s
программы	s|s|s|s|s|s|s|s|r_а
RivaTuner	s|s|s|s|l|s|s|s|s
--	s|s
v2.	s|s|s
24c	s|s|s
,	s
датируется	s|s|s|s|s|r_ов|r_а|s|i_ь|s
23	s|s
августа	s|s|s|s|s|s|d
2009	s|s|s|s
года	s|s|s|d
.	s

В	l
2005	s|s|s|s
году	s|s|s|d
Джо	s|s|s
участвовал	s|s|s|s|s|s|s|s|s|r_ть
в	s
качестве	s|s|s|s|s|s|s|r_о
приглашённого	s|s|s|s|s|s|r_с|r_и|r_т|r_ь|d|d|d
музыканта	s|s|s|s|s|s|s|s|d
в	s
альбоме	s|s|s|s|s|s|d
BlackmoreAPOSTROPHEs	s|s|s|s|s|s|s|s|s|r_'|d|d|d|d|d|d|d|d|d|s
Night	s|s|s|s|s
``	s|s
The	l|s|s
Village	s|s|s|s|s|s|s
Lanterne	s|s|s|s|s|s|s|s
&#39;&#39;	s|s|s|s|s|s|s|s|s|s
,	s
исполнив	s|s|s|s|s|s|s|r_ть
бонус	s|s|s|s|s
-	s
трек	s|s|s|s
Street	s|s|s|s|s|s
Of	l|s
Dreams	s|s|s|s|s|s
,	s
который	s|s|s|s|s|s|s
изначально	s|s|s|s|s|s|s|s|s|s
был	s|s|r_ть
написан	s|s|s|s|s|s|r_ть
им	r_о|r_н
и	s
Блэкмором	s|s|s|s|s|s|s|d|d
ещё	s|s|r_е
во	s|s
времена	s|s|s|s|r_я|d|d
их	s|s
совместного	s|s|s|s|s|s|s|s|r_ы|r_й|d
выступления	s|s|s|s|s|s|s|s|s|s|r_е
в	s
Rainbow	s|s|s|s|s|s|s
.	s

И	l
сама	s|s|s|d
работа	s|s|s|s|s|s
словно	s|s|s|s|s|s
сумасшедший	s|s|s|s|s|s|s|s|s|s|s
дом	s|s|s
!	s

Является	l|s|s|s|r_т|r_ь|s|s
крупнейшим	s|s|s|s|s|s|s|s|s|r_й
в	s
мире	s|s|s|d
