Sitio	1
aún	O
no	O
explorado	R1drD0o
en	O
su	O
totalidad	O
,	O
cuenta	R4uoD3eI0r
con	O
grandes	D0s
plazas	D0s
rodeadas	R1aoD0s
de	O
altas	R1aoD0s
estructuras	D0s
de	O
perfiles	D1eD0s
muy	R0ycI0hI0o
alargados	D0s
,	O
que	O
nos	R2nyD0s
recuerdan	R5uoD4eR0nr
la	R1leR0al
arquitectura	O
de	O
Tikal	O
o	O
las	R2leR1alD0s
torres	D0s
de	O
Río	O
Bec	O
.	O

Más	1
adelante	O
creó	R0óaI0r
Make	O
up	O
,	O
una	R0ao
serie	O
que	O
relata	I0r
las	R2leR1alD0s
diferentes	D0s
miradas	D0s
de	O
Victoria	O
,	O
su	O
ex	O
novia	O
.	O

Ramla	O
,	O
en	O
Oriente	O
Próximo	O
,	O
es	I2sR0sr
conocida	R0ao
solamente	O
por	O
los	R2leR1olD0s
textos	D0s
.	O

Es	I2sR0sr
la	R1leR0al
mayor	O
de	O
un	I0o
archipiélago	O
que	O
,	O
aparte	O
de	O
Cortegada	O
,	O
la	R1leR0al
mayor	O
isla	O
,	O
cuenta	R4uoD3eI0r
con	O
otros	D0s
grupos	D0s
de	O
islas	D0s
,	O
como	O
las	R2leR1alD0s
Islas	↑D0s
Malveiras	O
o	O
las	R2leR1alD0s
Islas	↑D0s
Briñas	O
.	O

Un	I0o
sinónimo	O
poco	O
usado	O
es	I2sR0sr
müsenita	R0ao
.	O

Una	R0ao
vez	O
que	O
el	O
oro	O
era	I3sD0a
recuperado	O
,	O
el	O
metal	O
podía	R1íeR0ar
tomar	O
varios	O
caminos	D0s
.	O

"	O
Maradona	O
destacó	R0óaI0r
como	O
el	O
alcalde	O
de	O
la	R1leR0al
congregación	O
que	O
planea	I0r
volver	O
a	O
el	O
(	O
estadio	O
)	O
Soccer	O
City	O
en	O
la	R1leR0al
gran	O
final	O
"	O
,	O
agrega	I0r
el	O
mismo	O
matutino	O
.	O

Cada	1
señal	O
que	O
el	O
caporal	O
hace	I0r
es	I2sR0sr
un	I0o
tipo	O
de	O
acrobacia	O
,	O
en	O
una	R0ao
de	O
ellas	R4eéD3lD1aD0s
cada	O
danzante	O
volador	O
salta	I0r
a	O
el	O
vacío	O
,	O
sujetado	O
por	O
la	R1leR0al
cintura	O
,	O
boca	O
abajo	O
y	O
afianzándo	O
se	R1séR0el
con	O
las	R2leR1alD0s
piernas	D0s
y	O
gira	O
13	O
veces	D3eD2cR0sz
cada	O
uno	O
de	O
ellos	R4eéD3lD1oD0s
,	O
que	O
multiplicado	O
por	O
los	R2leR1olD0s
cuatro	O
voladores	D1eD0s
da	I0r
el	O
resultado	O
de	O
52	O
,	O
ya	O
que	O
este	O
número	O
es	I2sR0sr
el	O
símbolo	O
de	O
el	O
ciclo	O
de	O
52	O
años	D0s
de	O
el	O
calendario	O
indígena	I0r
o	O
Xiuhmolpilli	O
.	O

Fue	R2fsR1ueR0er
inaugurada	R0ao
el	O
19	O
de	O
abril	O
de	O
el	O
1982	O
por	O
el	O
alcalde	O
de	O
Barcelona	O
,	O
Narcís	O
Serra	O
y	O
el	O
Presidente	1
de	O
la	R1leR0al
Generalitat	1
de	O
Cataluña	O
,	O
Jordi	O
Pujol	O
,	O
pues	O
esta	R0ae
fue	R2fsR1ueR0er
la	R1leR0al
primera	R0ao
obra	O
en	O
el	O
metro	O
llevada	R0ao
a	O
cabo	O
por	O
el	O
gobierno	O
autonómico	O
.	O

En	1
cada	O
serie	O
,	O
los	R2leR1olD0s
equipos	D0s
jugaron	D1oD0n
tres	O
partidos	D0s
(	O
si	O
necesario	O
)	O
donde	O
el	O
equipo	O
que	O
gana	I0r
dos	O
veces	D3eD2cR0sz
avanzaba	R1brD0a
a	O
la	R1leR0al
siguiente	O
ronda	O
.	O

Resisten	R1eiR0nr
la	R1leR0al
corrosión	O
,	O
incluso	O
la	R1léR0al
de	O
origen	O
marino	O
,	O
el	O
umbral	O
de	O
fatiga	O
metálica	R0ao
es	I2sR0sr
menor	O
,	O
y	O
son	R1oeR0nr
mejores	D1eD0s
conductores	D1eD0s
de	O
el	O
calor	O
y	O
la	R1leR0al
electricidad	O
.	O

Cuenta	R4uoD3eI0r
con	O
talleres	D1eD0s
de	O
mecanizado	O
,	O
electricidad	O
,	O
motores	D1eD0s
,	O
neumáticos	D0s
e	O
hidráulicos	D0s
;	O

Además	1
,	O
exigiendo	R3erD2nD1dD0o
a	O
la	R1leR0al
Casta	1
Politica	1
los	R2leR1olD0s
mismos	D0s
sacrificios	D0s
y	O
esfuerzos	D0s
que	O
los	R2leR1olD0s
ciudadanos	D0s
afrontamos	R2mrD1oD0s
cada	O
día	O
.	O

LLevo	1
muchos	D0s
años	D0s
comprando	R2nrD1dD0o
suplementos	D0s
a	O
través	O
de	O
internet	O
,	O
pero	O
desde	O
hace	I0r
unos	D0s
meses	D3eD2s
me	R1myR0eo
encontre	O
con	O
esta	R0ae
tienda	O
y	O
es	I2sR0sr
la	R1léR0al
que	O
mejor	O
servicio	O
me	R1myR0eo
da	I0r
con	O
diferencia	O
.	O

Pelecanimimus	O
(	O
gr.	O
"	O
imitador	O
de	O
pelícanos	D0s
"	O
)	O
es	I2sR0sr
un	I0o
género	O
representado	O
por	O
una	R0ao
única	R0ao
especie	O
de	O
dinosaurio	O
terópodo	O
ornitomimosauriano	O
basal	O
,	O
que	O
vivió	R0ór
a	O
principios	D0s
de	O
el	O
período	O
Cretácico	1
,	O
hace	I0r
algo	O
más	O
de	O
125	O
millones	R3oóD1eD0s
de	O
años	D0s
,	O
en	O
el	O
Barremiense	O
,	O
en	O
lo	R1léR0ol
que	O
es	I2sR0sr
hoy	O
Europa	O
