Son	1
günlerinde	D7nD6lD5eD4rD3iD1dD0e
kravat	O
takardı	D3aD2rD1dD0ı
.	O

Kadehler	D2lD1eD0r
onun	D2nD1uD0n
şerefine	D2iD1nD0e
kalktı	D1tD0ı
.	O

Epey	1
iş	O
yaptılar	D4tD3ıD2lD1aD0r
.	O

Memura	D0a
ikibinüç'te	D2'D1tD0e
Deppler	O
geçmiş	O
IMF	O
enflasyona	D0a
göre	O
zam	O
sözü	D0ü
.	O

Şimdi	1
adımlarını	D5lD4aD3rD2ıD1nD0ı
daha	O
da	O
hızlandırmıştı	D7dD6ıD5rD4mD3ıD2şD1tD0ı
.	O

Korkunç	1
düşlerle	D4lD3eD2rD1lD0e
dolu	O
bir	O
uykuya	D1yD0a
sürüklenmek	D4eD3nD2mD0k
üzere	O
ydim	D3yD2dD0m
.	O

Ben	1
yavrumdan	D3mD2dD1aD0n
nasıl	O
ayrılırım	D3ıD2rD1ıD0m
?	O
Onu	D1nD0u
nerelere	D6eD5rD4eD3l
gönderirim	D4rD3iD1iD0m
?	O
diye	O
adamın	D1ıD0n
ayaklarına	D5lD4aD3rD2ıD1nD0a
kapanmış	D3nD2mD1ıD0ş
zavallı	O
kadın	O
.	O

Abim	D0m
yiyecek	O
bir	O
şeyler	D2lD1eD0r
getirmiştir	D8tD7iD6rD5mD4iD3ş
,	O
herhalde	O
.	O

Hacim	1
siz	O
ve	O
sıkışık	O
seanslar	D2lD1aD0r
geçiren	D1eD0n
borsa	O
umudunu	D4uD3dR1ntD0u
seçim	O
sonrasına	D4aD3sD2ıD1n
bağlamış	D2mD1ıD0ş
görünüyor	D3üD2yD1oD0r
.	O

Ne	1
oluyorsun	D6uD5yD4oD3rD2sD1uD0n
?	O
diye	O
sordu	D1dD0u
.	O

Çoğu	R1ğkD0u
,	O
çok	O
kere	O
beni	D0i
daha	O
çok	O
falan	O
filan	O
bulurlarmış	D9uD8lD6rD4aD3rD2mD1ıD0ş
.	O

Ben	1
de	O
onu	D1nD0u
dövdüm	D2dD1üD0m
.	O

Benim	D1iD0m
gibi	O
yüksek	O
tansiyonu	D0u
olanlar	D5lD4aD3nD1aD0r
tuzsuz	O
da	O
yer	O
.	O

Uy	1
,	O
sevsinler	D5sD4iD3nD2lD1eD0r
seni	D0i
!	O

Oğlunuza	D5lD4uD3nR1zlD0a
sarıldığınızda	D10ıD9lD8dD7ıD6ğD5ıD4nD3ıD2zD1dD0a
,	O
aklınızdan	D7lD6ıD5nR3zlD2dD1aD0n
,	O
Ya	1
bu	O
ona	D1nD0a
son	O
sarılışım	D1ıD0m
sa	R1siD0a
gibi	O
aptalca	O
bir	O
düşünce	O
geçiyor	D3iD2yD1oD0r
.	O

Nerede	D2eD1d
siniz	D4sD3iD2nD0z
oğlum	D2lR0ml
?	O
dedi	D1dD0i
bağırarak	D4rD3aD1aD0k
.	O

Tüzmen	O
,	O
işadamlarının	D6lD5aD4rD3ıD2nD0n
